a_year,a_ref,a_District,a_type,a_veh,a_cas,a_wkday,a_day,a_month,a_hour,a_min,a_gd1,a_gd2,a_ctype,a_speed,a_jdet,a_jcont,a_pedhum,a_pedphys,a_light,a_weat,a_roadsc,a_speccs,a_chaz,a_scene
2021,3550,FERO,3,1,1,MON,18,10,16,4,239615,355266,13,60, , , , , , , , , , 
2021,3551,ARBC,3,2,2,MON,18,10,16,11,288755,345953,13,40, , , , , , , , , , 
2021,3552,MEAN,3,2,1,MON,18,10,16,32,311205,404044,13,30, , , , , , , , , , 
2021,3553,LISC,3,2,2,MON,18,10,16,37,329061,360492,13,40, , , , , , , , , , 
2021,3554,BELC,3,1,1,MON,18,10,17,0,333278,378473,13,30, , , , , , , , , , 
2021,3555,ARND,3,2,1,MON,18,10,17,20,342530,380695,13,50, , , , , , , , , , 
2021,3556,MIDU,3,2,2,MON,18,10,17,38,279100,369911,13,60, , , , , , , , , , 
2021,3557,NEMD,3,2,3,MON,18,10,17,30,335243,336883,13,40, , , , , , , , , , 
2021,3558,BELC,2,1,1,MON,18,10,19,15,330128,372218,13,30,2,7,1,2,4,1,1,1,1,1
2021,3559,NEMD,3,2,1,MON,18,10,22,6,295571,317620,13,60, , , , , , , , , , 
2021,3560,NEMD,3,2,2,TUE,19,10,6,59,347200,347018,13,60, , , , , , , , , , 
2021,3561,LISC,3,2,1,TUE,19,10,7,15,324804,365797,13,50, , , , , , , , , , 
2021,3562,NEMD,2,2,2,TUE,19,10,8,40,318541,327929,13,60,1,1,1,1,2,2,2,1,1,1
2021,3563,ARBC,3,2,1,TUE,19,10,9,0,308409,359100,1,30, , , , , , , , , , 
2021,3564,BELC,2,1,1,TUE,19,10,9,15,332329,373405,11,50,1,1,1,1,3,2,2,1,1,1
2021,3565,LISC,3,2,1,MON,18,10,19,0,327814,364980,13,30, , , , , , , , , , 
2021,3566,ANTN,2,1,1,TUE,19,10,10,0,321293,393372,13,60,1,1,1,1,3,1,2,6,3,1
2021,3567,ARBC,3,2,1,MON,18,10,12,50,308198,358353,13,30, , , , , , , , , , 
2021,3568,BELC,3,2,1,TUE,19,10,12,46,335252,377732,11,40, , , , , , , , , , 
2021,3569,BELC,3,1,2,TUE,19,10,13,0,332180,373798,13,30, , , , , , , , , , 
2021,3570,ANTN,2,2,1,TUE,19,10,14,10,334774,381671,13,30,10,7,1,9,1,1,2,1,1,1
2021,3571,NEMD,3,1,1,TUE,19,10,15,20,345648,341977,13,60, , , , , , , , , , 
2021,3572,BELC,3,2,1,TUE,19,10,11,15,335733,372445,13,30, , , , , , , , , , 
2021,3573,ANTN,2,3,4,TUE,19,10,16,25,323771,386657,12,70,1,1,1,1,3,2,2,1,1,1
2021,3574,CCGL,3,2,1,TUE,19,10,16,30,285617,432659,13,30, , , , , , , , , , 
2021,3575,BELC,3,2,1,TUE,19,10,17,10,334188,375136,13,30, , , , , , , , , , 
2021,3576,MIDU,3,1,1,TUE,19,10,18,10,279936,362932,13,30, , , , , , , , , , 
