a_year,a_ref,a_District,a_type,a_veh,a_cas,a_wkday,a_day,a_month,a_hour,a_min,a_gd1,a_gd2,a_ctype,a_speed,a_jdet,a_jcont,a_pedhum,a_pedphys,a_light,a_weat,a_roadsc,a_speccs,a_chaz,a_scene
2020,1,ARND,3,1,1,WED,1,1,0,55,346543,367965,13,40, , , , , , , , , , 
2020,2,BELC,3,4,1,WED,1,1,2,20,335920,374406,13,30, , , , , , , , , , 
2020,3,MIDU,1,2,4,WED,1,1,2,30,285868,403563,13,60,1,1,1,1,2,1,2,1,1,1
2020,4,DCST,3,2,2,WED,1,1,8,19,241839,418421,13,40, , , , , , , , , , 
2020,5,ARBC,3,2,1,WED,1,1,10,25,307310,358208,13,30, , , , , , , , , , 
2020,6,ARND,3,1,2,WED,1,1,13,30,348413,380137,13,30, , , , , , , , , , 
2020,7,MEAN,3,1,1,WED,1,1,16,10,320440,409378,13,60, , , , , , , , , , 
2020,8,NEMD,2,1,1,WED,1,1,18,17,324034,342323,13,60,1,1,1,1,6,4,2,1,1,1
2020,9,NEMD,2,2,3,WED,1,1,18,40,307322,331037,13,60,1,1,1,1,6,1,1,1,1,1
2020,10,BELC,3,2,3,WED,1,1,19,28,331547,370839,13,30, , , , , , , , , , 
2020,11,MIDU,3,2,2,WED,1,1,20,32,283187,365503,13,40, , , , , , , , , , 
2020,12,BELC,3,2,1,WED,1,1,21,0,332057,375997,13,30, , , , , , , , , , 
2020,13,ARND,3,2,2,THU,2,1,11,31,352090,379594,13,30, , , , , , , , , , 
2020,14,FERO,3,2,2,THU,2,1,12,9,243685,373883,1,30, , , , , , , , , , 
2020,15,BELC,3,2,1,THU,2,1,12,44,336386,374593,13,30, , , , , , , , , , 
2020,16,BELC,3,2,1,THU,2,1,16,38,340599,372974,13,30, , , , , , , , , , 
2020,17,NEMD,3,1,1,THU,2,1,17,30,308074,326636,13,30, , , , , , , , , , 
2020,18,CCGL,2,1,1,THU,2,1,17,35,266919,422944,13,30,12,7,1,1,4,10,1,1,1,1
2020,19,BELC,3,1,1,THU,2,1,18,30,332143,376741,13,30, , , , , , , , , , 
2020,20,ARBC,2,2,1,THU,2,1,22,50,300648,353760,13,30,8,3,1,11,4,1,1,1,1,1
2020,21,DCST,2,2,3,THU,2,1,23,5,249903,415281,13,60,6,4,1,1,6,1,1,1,1,1
2020,22,NEMD,3,2,1,FRI,3,1,13,36,353238,348033,13,60, , , , , , , , , , 
2020,23,CCGL,2,1,1,FRI,3,1,13,30,294996,426082,13,30,10,7,1,1,1,1,1,1,1,1
2020,24,BELC,3,3,4,FRI,3,1,13,40,328540,370674,13,30, , , , , , , , , , 
2020,25,NEMD,3,2,2,FRI,3,1,14,3,308744,326020,13,30, , , , , , , , , , 
2020,26,ANTN,3,2,1,FRI,3,1,14,0,333219,381911,13,30, , , , , , , , , , 
2020,27,BELC,3,1,1,FRI,3,1,14,30,333902,374228,13,10, , , , , , , , , , 
2020,28,MIDU,3,3,3,FRI,3,1,14,58,285917,364665,13,60, , , , , , , , , , 
2020,29,NEMD,3,2,2,FRI,3,1,15,30,327387,333386,13,60, , , , , , , , , , 
2020,30,BELC,3,1,1,FRI,3,1,9,52,334392,374002,2,30, , , , , , , , , , 
2020,31,NEMD,2,2,1,FRI,3,1,4,15,307108,331303,13,60,1,1,1,1,7,1,1,1,1,2
2020,32,BELC,3,2,2,FRI,3,1,15,15,332238,373892,13,30, , , , , , , , , , 
2020,33,BELC,3,2,3,FRI,3,1,16,0,331888,372326,13,30, , , , , , , , , , 
2020,34,BELC,1,2,1,FRI,3,1,16,35,329851,373316,13,30,1,1,1,9,4,4,2,1,1,1
2020,35,BELC,3,1,1,WED,1,1,3,0,333485,375110,13,30, , , , , , , , , , 
2020,36,BELC,3,1,1,FRI,3,1,17,30,334038,371816,13,30, , , , , , , , , , 
2020,37,ARND,3,2,1,FRI,3,1,17,50,347616,380070,13,40, , , , , , , , , , 
2020,38,ARBC,2,2,1,FRI,3,1,18,30,286414,345589,13,30,12,7,1,1,4,2,2,1,1,2
2020,39,DCST,3,2,4,FRI,3,1,16,30,243496,419090,13,30, , , , , , , , , , 
2020,40,BELC,3,2,2,FRI,3,1,20,13,339152,373394,13,30, , , , , , , , , , 
2020,41,ANTN,3,2,1,FRI,3,1,22,30,318646,382631,13,60, , , , , , , , , , 
2020,42,BELC,2,1,1,SAT,4,1,1,30,333199,377416,13,30,12,7,1,1,4,1,1,1,1,1
2020,43,MEAN,3,2,2,FRI,3,1,17,0,311692,401973,13,30, , , , , , , , , , 
2020,44,FERO,3,2,1,SAT,4,1,9,22,227875,353672,13,60, , , , , , , , , , 
2020,45,ARBC,2,2,1,SAT,4,1,12,15,278134,345060,13,60,1,1,1,1,2,2,7,1,1,1
2020,46,MEAN,3,1,2,SAT,4,1,12,16,309304,400271,13,60, , , , , , , , , , 
2020,47,NEMD,3,5,6,SAT,4,1,14,15,350666,359093,13,60, , , , , , , , , , 
2020,48,ARND,3,2,2,SAT,4,1,16,0,356496,373407,13,60, , , , , , , , , , 
2020,49,ANTN,3,3,1,SAT,4,1,17,54,334862,380600,13,30, , , , , , , , , , 
2020,50,ARBC,3,2,1,SAT,4,1,18,13,305192,357011,11,60, , , , , , , , , , 
2020,51,NEMD,3,1,1,SAT,4,1,21,0,353245,337235,13,60, , , , , , , , , , 
2020,52,BELC,3,2,3,SUN,5,1,13,31,329994,373532,13,30, , , , , , , , , , 
2020,53,LISC,3,2,2,SUN,5,1,13,30,325439,361771,1,40, , , , , , , , , , 
2020,54,LISC,3,1,1,SUN,5,1,13,56,325710,373447,13,60, , , , , , , , , , 
2020,55,ARND,3,2,1,SUN,5,1,15,10,354745,375955,13,60, , , , , , , , , , 
2020,56,DCST,3,2,1,SUN,5,1,15,30,242905,421222,13,30, , , , , , , , , , 
2020,57,NEMD,3,2,3,SUN,5,1,16,47,344942,352929,13,60, , , , , , , , , , 
2020,58,MIDU,2,2,1,SUN,5,1,18,5,287764,391103,13,60,11,7,1,1,6,1,1,1,1,1
2020,59,CCGL,3,2,1,SUN,5,1,22,19,284872,432179,2,30, , , , , , , , , , 
2020,60,CCGL,3,2,2,MON,6,1,6,58,286310,434049,13,60, , , , , , , , , , 
2020,61,BELC,3,3,3,MON,6,1,10,20,337764,375431,13,30, , , , , , , , , , 
2020,62,NEMD,3,2,1,MON,6,1,10,37,340905,340122,13,30, , , , , , , , , , 
2020,63,DCST,3,3,4,MON,6,1,11,52,244583,419743,11,50, , , , , , , , , , 
2020,64,ARBC,3,2,1,MON,6,1,12,45,287449,345682,13,30, , , , , , , , , , 
2020,65,CCGL,3,2,1,MON,6,1,13,54,286153,434003,13,60, , , , , , , , , , 
2020,66,CCGL,3,2,1,MON,6,1,8,5,296986,440435,13,30, , , , , , , , , , 
2020,67,MIDU,2,2,2,MON,6,1,14,26,297148,403822,13,30,3,7,1,1,2,1,1,1,1,1
2020,68,BELC,3,2,2,MON,6,1,14,35,333748,371458,1,30, , , , , , , , , , 
2020,69,NEMD,3,2,3,MON,6,1,14,44,350861,350801,13,60, , , , , , , , , , 
2020,70,ARBC,3,1,2,MON,6,1,16,18,307743,358156,13,30, , , , , , , , , , 
2020,71,ANTN,3,2,1,MON,6,1,16,25,334775,381674,13,30, , , , , , , , , , 
2020,72,ARND,3,1,1,MON,6,1,16,32,348184,370633,13,60, , , , , , , , , , 
2020,73,BELC,2,1,1,MON,6,1,16,35,333934,374097,2,30,6,7,1,1,4,10,10,1,1,2
2020,74,ARBC,3,2,1,MON,6,1,17,55,321370,354057,11,60, , , , , , , , , , 
2020,75,ARBC,3,2,1,MON,6,1,18,5,313017,345222,13,60, , , , , , , , , , 
2020,76,BELC,3,2,1,MON,6,1,19,21,333428,372481,13,30, , , , , , , , , , 
2020,77,NEMD,3,3,1,TUE,7,1,7,0,340665,341262,13,60, , , , , , , , , , 
